1,0.177676
2,0.184042
3,0.229521
4,0.272153
5,0.32156
6,0.384649
7,0.46566
8,0.549956
9,0.691726
10,0.742778
11,0.836618
12,0.967105
13,1.09164
14,1.17067
15,1.2542
16,1.23584
17,1.4169
18,1.57929
19,1.61522
20,1.67143
21,1.75943
22,1.94844
23,1.98945
24,2.09733
25,2.24809
26,2.32335
27,2.3888
28,2.43334
29,2.58608
30,2.68348
31,2.82525
32,2.8302
33,3.01569
34,3.15223
35,3.18802
36,3.20958
37,3.29548
38,3.39274
39,3.68423
40,3.68182
41,3.72611
42,3.81244
43,3.83787
44,3.89176
45,4.24159
46,4.15788
47,4.36545
48,4.24541
49,4.50523
50,4.48737
