
1,98909
2,182496
3,233792
4,275642
5,298437
6,308117
7,307665
8,321909
9,322385
10,324628
11,324124
12,322546
13,325232
14,327920
15,325103
16,326427
17,323455
18,310976
19,323311
20,311374
140,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
1,95955
2,183904
3,230444
4,272376
5,295384
6,309382
7,313515
8,315356
9,311773
10,315368
11,306863
12,296484
13,295173
14,306994
15,313200
16,320853
17,320873
18,316725
19,315340
20,319105
21,319462
22,315768
23,321059
24,319487
25,316351
26,316097
27,316480
28,318941
29,320233
30,318200
31,317687
32,320272
33,318796
34,314730
35,315679
36,318253
37,317565
38,316305
39,299473
40,311013
41,317631
42,318649
43,314905
44,316954
45,316388
46,316247
47,314158
48,318876
49,314657
50,310843
